Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,166.421753,173.772278,166.827454,169.507614,169.507614,7372809666
2019-09-19,169.390701,177.948105,163.427887,176.677933,176.677933,8479415079
2019-09-20,176.509293,177.672180,172.509628,174.827087,174.827087,6436629073
2019-09-21,174.704666,177.158844,172.381760,172.795502,172.795502,6208392197
2019-09-22,172.771744,173.287552,166.518143,169.646072,169.646072,6265417160
2019-09-23,169.780655,170.382050,162.376694,162.404099,162.404099,6027920635
2019-09-24,162.340378,162.991516,130.335037,134.646439,134.646439,9417231904
2019-09-25,134.664734,141.371704,133.437103,138.275085,138.275085,7902514031
2019-09-26,138.165222,139.267624,127.455482,135.239868,135.239868,6366098073
2019-09-27,135.178696,142.889221,132.798676,142.157089,142.157089,6435571217
2019-09-28,142.132553,143.022369,138.950226,142.041229,142.041229,5610461286
2019-09-29,142.073654,142.528778,135.848114,138.699982,138.699982,5285205828
2019-09-30,138.665710,146.365784,135.921188,146.365784,146.365784,6145965667
2019-10-01,146.639938,150.548599,143.036957,144.279907,144.279907,6245234106
2019-10-02,144.185242,146.971313,142.507660,146.877350,146.877350,5149426100
2019-10-03,146.871826,146.496719,139.853027,141.959290,141.959290,5170679140
2019-10-04,141.990967,144.775375,140.730972,143.504745,143.504745,5066818655
2019-10-05,143.473389,144.072311,140.307663,142.968353,142.968353,4732233420
2019-10-06,142.978790,143.804688,138.887466,140.313934,140.313934,4745441818
2019-10-07,140.217606,148.405426,139.592941,147.453247,147.453247,6383869770
2019-10-08,147.393860,150.881119,146.603668,148.967361,148.967361,6110443159
2019-10-09,148.979416,159.093246,147.931320,158.268524,158.268524,7441354377
2019-10-10,158.184860,155.933853,151.437943,154.134628,154.134628,6735993215
2019-10-11,154.248337,154.462982,143.662720,144.380676,144.380676,7219064178
2019-10-12,144.352478,147.334564,142.336502,143.002228,143.002228,5926702605
2019-10-13,143.029648,146.676926,142.905502,144.298752,144.298752,5336201815
2019-10-14,144.261749,148.526718,144.053284,148.254944,148.254944,5770084448
2019-10-15,148.267761,147.153229,140.650543,142.173553,142.173553,6059382196
2019-10-16,142.124710,141.707153,135.775436,137.295990,137.295990,5999409209
2019-10-17,137.212830,139.028931,135.661041,138.351883,138.351883,5235736267
2019-10-18,138.320953,137.262772,131.735626,133.751114,133.751114,5828749931
2019-10-19,133.772766,135.281723,132.668076,133.205444,133.205444,5046984556
2019-10-20,133.253006,136.995682,132.725800,136.077576,136.077576,5272335057
2019-10-21,136.070129,137.023758,133.590118,134.849213,134.849213,5254418359
2019-10-22,134.836945,136.334106,133.707703,133.734589,133.734589,5426160197
2019-10-23,133.705048,133.457153,121.879990,125.703171,125.703171,7449894785
2019-10-24,125.789330,127.870628,125.331398,126.328972,126.328972,5687400159
